105.665,20.683,"[105.665,20.683],"
105.668,20.685,"[105.668,20.685],"
105.671,20.684,"[105.671,20.684],"
105.676,20.687,"[105.676,20.687],"
105.675,20.691,"[105.675,20.691],"
105.678,20.695,"[105.678,20.695],"
105.668,20.705,"[105.668,20.705],"
105.666,20.711,"[105.666,20.711],"
105.66,20.716,"[105.66,20.716],"
105.658,20.72,"[105.658,20.72],"
105.658,20.728,"[105.658,20.728],"
105.662,20.733,"[105.662,20.733],"
105.654,20.739,"[105.654,20.739],"
105.654,20.742,"[105.654,20.742],"
105.647,20.751,"[105.647,20.751],"
105.647,20.758,"[105.647,20.758],"
105.644,20.766,"[105.644,20.766],"
105.646,20.772,"[105.646,20.772],"
105.644,20.775,"[105.644,20.775],"
105.644,20.788,"[105.644,20.788],"
105.63,20.789,"[105.63,20.789],"
105.626,20.793,"[105.626,20.793],"
105.627,20.799,"[105.627,20.799],"
105.629,20.801,"[105.629,20.801],"
105.627,20.818,"[105.627,20.818],"
105.633,20.826,"[105.633,20.826],"
105.63,20.825,"[105.63,20.825],"
105.627,20.828,"[105.627,20.828],"
105.617,20.827,"[105.617,20.827],"
105.614,20.828,"[105.614,20.828],"
105.612,20.832,"[105.612,20.832],"
105.61,20.832,"[105.61,20.832],"
105.609,20.834,"[105.609,20.834],"
105.604,20.835,"[105.604,20.835],"
105.602,20.835,"[105.602,20.835],"
105.602,20.832,"[105.602,20.832],"
105.599,20.828,"[105.599,20.828],"
105.591,20.827,"[105.591,20.827],"
105.592,20.819,"[105.592,20.819],"
105.587,20.815,"[105.587,20.815],"
105.591,20.81,"[105.591,20.81],"
105.59,20.804,"[105.59,20.804],"
105.592,20.799,"[105.592,20.799],"
105.592,20.793,"[105.592,20.793],"
105.589,20.791,"[105.589,20.791],"
105.57,20.792,"[105.57,20.792],"
105.568,20.794,"[105.568,20.794],"
105.564,20.794,"[105.564,20.794],"
105.56,20.798,"[105.56,20.798],"
105.556,20.797,"[105.556,20.797],"
105.553,20.799,"[105.553,20.799],"
105.548,20.799,"[105.548,20.799],"
